Molecule,Route,Technical Specifications,Level 1,Level 2,Level 3,Level 4,ATC Code
Retinol/Vitamin A,Oral:,"25,000 IU (as Palmitate) Soft gel capsule *Primary Health Care",ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","Vitamin A, plain",A11CA01
Retinol/Vitamin A,Oral:,"50,000 IU (as Palmitate) Soft gel capsule *Primary Health Care",ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","Vitamin A, plain",A11CA01
Retinol/Vitamin A,Oral:,"100,000 IU (as Palmitate) Soft gel capsule with nipple (Only for DOH program) *Primary Health Care",ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","Vitamin A, plain",A11CA01
Retinol/Vitamin A,Oral:,"200,000 IU (as Palmitate) Soft gel capsule with nipple (Only for DOH program) *Primary Health Care",ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","Vitamin A, plain",A11CA01
Ribavirin,Oral:,200 mg Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Antivirals for treatment of HCV infections,J05AP01 
Ribavirin,Oral:,500 mg Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Antivirals for treatment of HCV infections,J05AP01 
Ribavirin,Oral:,600 mg Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Antivirals for treatment of HCV infections,J05AP01 
Rifabutin,Oral:,"150 mg Capsule (For HIV/AIDS patient on concomitant protease inhibitor therapy, in lieu of rifampicin) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Antibiotics,J04AB04 
Rifampicin,Oral:,300 mg Tablet/Capsule *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Antibiotics,J04AB02 
Rifampicin,Oral:,450 mg Tablet/Capsule *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Antibiotics,J04AB02 
